Drug;Netherlands;Worldwide
25B-NBOMe;0;30
25C-NBOMe;0;425
25D-NBOMe;0;78
25I-NBOMe;7;848
2C Family;6;198
2C-B;287;2502
2C-C;26;335
2C-D;0;74
2C-E;55;1022
2C-I;7;520
2C-P;42;600
2C-T-2;12;117
2C-T-4;0;180
2C-T-7;0;124
2-FA;0;57
2-FMA;0;45
3,4DMMC;0;8
4-AcO-DET;0;191
4-AcO-DMT;1;442
4-AcO-MIPT;0;35
4-FA;72;302
4-FMA;0;72
4-FMC;6;6
4-HO family;0;88
4-HO-DIPT;0;3
4-HO-MET;0;48
4-HO-MIPT;0;75
4-MEC;0;648
5-APB;19;30
5-MEO-AMT;0;12
5-MeO-DALT;0;50
5-MeO-DiPT;0;108
5-MeO-DMT;29;495
5-MEO-MIPT;0;385
6-APB;2;140
Accessories;0;877
Adderall;0;449
Alcohol;0;64
Ammunition;0;72
AMT;22;282
Antibiotics;0;50
Apparel;0;342
A-PVP;0;7
Art;0;115
Atlantis;9;83
azurescens;0;24
Barbiturates;0;115
Benzos;54;13408
Beverages;0;16
Biotic materials;0;20
Blotter;662;3317
Blunt Wraps;0;2
Bondage;0;64
Bongs;0;39
Books;6;18915
Bullion;0;117
Butylone;0;127
Caffeine;12;174
Cannabis;166;6292
CDs, DVDs, software, etc.;11;2918
Chemicals;0;384
Clothing;0;449
Cocaine;1358;4815
Collectibles;0;126
Computer equipment;0;1226
Concentrates;71;1556
Cones;0;74
Crack;44;392
Crystal;0;13
Crystal / Powder;0;398
Cubensis;153;1746
Cultures;0;84
Custom Orders;46;580
Cuttings;8;60
Cyanescens;0;51
Digital currencies;8;1434
Digital goods;0;5947
Dimethocaine;0;11
Dissociatives;0;102
Dissolved;1;1
DMT;137;3322
DOB;0;282
DOC;26;540
DOI;0;101
DOM;0;3
DOx;0;35
Drug paraphernalia;3;1736
Drugs;1079;14146
Dry;0;0
DXM;0;165
Ecstasy;61;732
Edibles;0;1717
Electronics;0;1436
Entheogens;0;46
Ephedrine;0;227
Erotica;0;7947
Ethylone;0;20
Ethylphenidate;0;143
Explosives;0;9
Fake IDs;0;1346
FAs;0;29
Fireworks;1;182
FMAs;0;0
FMCs;0;0
Food;0;232
Forgeries;0;1429
Gardening Supplies;0;2
GHB;563;866
Glass;0;1063
Glassware;0;45
Gold;0;31
Grinders;0;156
Handbags;0;280
Hardware;0;74
Hash;1892;7197
Herbs & Supplements;0;127
Heroin;487;2875
Home & Garden;0;118
Ibogain;60;340
Inhalants;0;47
Instruments;0;59
Intoxicants;0;2
Invites / Accounts;0;1330
IV/IM;0;125
Jewelry;0;664
Ketamine;246;2175
Kink;0;75
Lab Supplies;0;422
Lab Testing;0;16
Liberty caps;0;3
Liquid;0;60
Loans;0;292
Lock picks;0;64
Lotteries & games;23;1123
LSA;0;18
LSD;147;1011
Magazines;0;638
MDA;0;581
MDAI;0;32
MDMA;1425;3973
MDPPP;0;130
MDPV;0;792
Medical;0;576
Medical supplies;0;423
Melee;0;134
Mephedrone;103;1041
Mescaline;12;38
Metal;0;192
Meth;0;2037
Methylone;149;1986
Mexicana;0;99
Microdots;0;49
Mimosa Hostilis;0;73
Money;101;4898
Musical instruments;0;93
MXE;49;1156
NBOMe;1;1410
Newsletters;0;38
Oils;0;902
Opioids;0;3468
Opium;0;456
Other;13;2700
Packaging;0;390
Pain Relief;0;887
Papers;0;280
Passports;0;103
PCP;0;365
Peyote;0;2
Pharmaceuticals;0;315
Physical Books;0;725
Pills;3062;5334
Pipes;0;844
Precursors;0;11
Prescription;483;18768
Prostate Massager;0;36
Psychedelics;204;867
Recipes;0;35
Renewable Energy;0;144
Rolling Supplies;0;28
Salvia;72;386
San Pedro;0;33
Scales;0;150
Security;0;388
Security, defense;0;119
Seeds;389;5127
Services;43;2666
Shrooms;116;972
Silicone;0;141
Silver;0;201
Smoking Blend;0;164
Soma;0;45
Speed;1024;2555
Spores;28;1385
Sporting goods;0;22
SSRIs;0;775
Steroids, PEDs;1292;8373
Stimulants;155;2286
Sunglasses;0;558
Supplements;0;1023
Synthetic;11;1454
Tan;467;898
Tickets;3;62
TMA Family;2;265
Tobacco;0;1245
Topicals;0;36
Toys;0;52
Tramadol;0;100
Unknown;0;25
Vaporizers;0;106
Viagra;39;1492
Video;0;1227
Vinyl;0;10
Watches;0;728
Weaponry;0;123
Weed;2026;25805
Weight loss;0;242
White;635;1931
Writing;0;2
Yubikeys;22;77
